Seed,Model Type,Max Nodes,Learning Rate,Batch Size,Model MAE,Validation MAE,Model Max AE,Validation Max AE,Model Wrong i_a,Validation Wrong i_a,Model Consumption MAE,Validation Consumption MAE,Model Consumption Max AE,Validation Consumption Max AE,Model i_a MAE,Validation i_a MAE,Model i_a Max AE,Validation i_a Max AE
42,PudgeFiveLayer,2048,0.01,512,0.02145594358444214,0.02131393551826477,0.3063242435455322,0.28196802735328674,1919.0,462.0,0.17252260446548462,0.1697339117527008,2.4626967906951904,2.3616445064544678,0.025186028331518173,0.025188550353050232,0.2657318711280823,0.2668207585811615
42,PudgeFiveLayer,2048,0.0001,128,0.005848926957696676,0.006124265491962433,0.13665252923965454,0.14659884572029114,214.0,72.0,0.051947541534900665,0.0526629202067852,0.6644997596740723,0.6902951002120972,0.006360506173223257,0.006837677676230669,0.12423785775899887,0.135940283536911
42,PudgeFiveLayer,2048,0.001,128,0.005300324410200119,0.005581257399171591,0.12545715272426605,0.15175116062164307,147.0,53.0,0.05355063080787659,0.05511156842112541,0.6346953511238098,0.6571311950683594,0.005098582711070776,0.005500073544681072,0.11337795108556747,0.13926255702972412
42,PudgeFiveLayer,2048,0.001,64,0.0046316832304000854,0.004946924280375242,0.08872813731431961,0.10181203484535217,117.0,49.0,0.046467021107673645,0.04773055762052536,0.4342937767505646,0.45723065733909607,0.004489106126129627,0.004989770241081715,0.07999268919229507,0.09260355681180954
42,PudgeFiveLayer,2048,0.01,128,0.035106390714645386,0.031212521716952324,0.28729403018951416,0.26204046607017517,3324.0,663.0,0.3058090806007385,0.2577504813671112,2.2882440090179443,1.9395395517349243,0.03879237920045853,0.03594246134161949,0.2409001737833023,0.22926490008831024
42,PudgeFiveLayer,2048,0.0001,512,0.009402057155966759,0.009692237712442875,0.23934443295001984,0.24286134541034698,541.0,130.0,0.0711706206202507,0.07270213961601257,1.5090841054916382,1.688732624053955,0.011491684243083,0.01191469095647335,0.2058761864900589,0.21634036302566528
42,PudgeFiveLayer,2048,0.01,64,0.008604800328612328,0.008806049823760986,0.12290750443935394,0.13176503777503967,321.0,90.0,0.09300927072763443,0.09242525696754456,0.6491007804870605,0.6617709994316101,0.007653350010514259,0.008115864358842373,0.11325711011886597,0.12216786295175552
42,PudgeSixLayer,512,0.001,128,0.004526663105934858,0.004934120457619429,0.11162342131137848,0.136453777551651,105.0,56.0,0.050980210304260254,0.052938953042030334,0.6095864772796631,0.6522926688194275,0.0038153647910803556,0.0044290232472121716,0.09757698327302933,0.12634438276290894
42,PudgeSixLayer,512,0.0001,128,0.008976844139397144,0.009165797382593155,0.16657498478889465,0.1691407859325409,473.0,125.0,0.07202764600515366,0.07327648252248764,0.8261021971702576,0.8396653532981873,0.010553209111094475,0.0108027970418334,0.15406779944896698,0.1596275269985199
42,PudgeSixLayer,512,0.01,128,0.012834439985454082,0.01292893011122942,0.2142016738653183,0.22321677207946777,780.0,192.0,0.15829548239707947,0.1583028882741928,1.1035517454147339,1.1394861936569214,0.009404802694916725,0.009593021124601364,0.20127014815807343,0.2113029956817627
